,wine,pairing,description
91,vin_santo,"['turnover', 'onion tart', 'chocolate souffle', 'vanilla ricotta souffle']"," It goes especially well with turnover, onion tart, chocolate souffle, and vanilla ricotta souffle."
92,port,"['turnover', 'hand pies', 'onion tart', 'pastry pillows', 'souffle dessert']"," It goes especially well with turnover, hand pies, onion tart, pastry pillows, and souffle dessert."
93,rose_wine,"['tuna', 'chole', 'gumbo', 'sushi', 'cajun']"," It goes especially well with tuna, chole, gumbo, sushi, and cajun."
94,sparkling_rose,"['chole', 'tacos', 'curry', 'sushi', 'nachos']"," It goes especially well with chole, tacos, curry, sushi, and nachos."
95,sparkling_wine,"['cod', 'sole', 'crab', 'tuna', 'hake']"," It goes especially well with cod, sole, crab, tuna, and hake."
96,cava,"['chili', 'crabcakes', 'grilled cheese sandwich']"," It goes especially well with chili, crabcakes, and grilled cheese sandwich."
97,cremant,"['cod', 'sole', 'crab', 'tuna', 'hake']"," It goes especially well with cod, sole, crab, tuna, and hake."
98,champagne,"['quiche', 'french', 'ceviche', 'souffle', 'coq au vin']"," It goes especially well with quiche, french, ceviche, souffle, and coq au vin."
99,prosecco,"['cod', 'sole', 'crab', 'tuna', 'hake']"," It goes especially well with cod, sole, crab, tuna, and hake."
100,spumante,"['cod', 'sole', 'crab', 'tuna', 'hake']"," It goes especially well with cod, sole, crab, tuna, and hake."
101,sparkling_rose,"['chole', 'tacos', 'curry', 'sushi', 'nachos']"," It goes especially well with chole, tacos, curry, sushi, and nachos."
102,sherry,"['turnover', 'gazpacho', 'onion tart', 'chocolate souffle', 'vanilla ricotta souffle']"," It goes especially well with turnover, gazpacho, onion tart, chocolate souffle, and vanilla ricotta souffle."
103,cream_sherry,"['turnover', 'hand pies', 'onion tart', 'pastry pillows', 'souffle dessert']"," It goes especially well with turnover, hand pies, onion tart, pastry pillows, and souffle dessert."
104,dry_sherry,['gazpacho'], It goes especially well with gazpacho.
105,vermouth,"['oysters, crab, prawns']","Served on the rocks they’re a natural match for seafood especially shellfish like oysters, crab and prawns"
106,mead,"['steak, stew, chili']","Dry meads go with dinner, sweet meads are for after dinner and sparkling meads are for drinking on their own. A mead like Antinomy is an excellent choice as a pairing wine with steaks, stews, chili and other dark, heavy meals.                  You could also try Skol, but it may not pair quite as perfectly as Antinomy."
